,Herschel_RA,Herschel_Dec,F_BLIND_MF_SPIRE_250,FErr_BLIND_MF_SPIRE_250,F_BLIND_MF_SPIRE_350,FErr_BLIND_MF_SPIRE_350,F_BLIND_MF_SPIRE_500,FErr_BLIND_MF_SPIRE_500,r,P,RA_pix,Dec_pix,F_BLIND_pix_SPIRE_250,FErr_BLIND_pix_SPIRE_250,ID_match,Project_match,Time_match,RA,RA_ERR_match,DEC,DEC_ERR_match,flux_match,flux_err_match,RMS_match,SNR_match,NPIX_match,RES_match,Multi_match,GroupID,GroupSize,Separation,s,s_norm
2394,150.16813188980416,1.7304104657864938,0.013633937878427906,0.00249018634299087,0.015059370697168027,0.0024993207524909387,0.007867966078709149,0.002512543632430245,0.7476326265344809,0.9128313186203837,150.16840977503927,1.730132701070612,0.015156434492229339,0.0024247618091137544,10500.0,b'COSMOSVLA3',b'J100040.38+014350.6',150.168272,0.1,1.730741,0.1,11.7,2.4,2.28,5.14,16.0,0.0,0.0,,,1.2923239342639898,0.0014972756723710123,0.017739799322545588
1371,149.88368073428867,2.7728583941647726,0.016200920703569148,0.0025218069066332478,0.015164066305617062,0.002455038696471002,0.010141938341747338,0.0025236375501351887,0.712321839582,0.874712202609363,149.88312474109208,2.7717472859701284,0.01407947618752814,0.0024647882076148492,10772.0,b'COSMOSVLA3',b'J095931.89+024623.5',149.88291,0.11,2.773212,0.11,11.7,2.4,2.33,5.01,18.0,0.0,0.0,,,3.049771703099633,0.008310136996795947,0.09846804358604144
1441,149.9009749536068,2.4156587484225227,0.03192174885873726,0.0024886914456344446,0.025711025732871637,0.0025123425538938673,0.010546038818882306,0.0024689155904922227,0.8930789050433461,0.9859484777517564,149.90153107388952,2.415103292988742,0.02827649516652311,0.0024218980488981967,10709.0,b'COSMOSVLA3',b'J095936.20+022459.2',149.900843,0.11,2.41647,0.11,11.7,2.4,2.31,5.09,12.0,0.0,0.0,474,2,2.9588188083703395,0.007823779284469645,0.09270500184330835
2890,150.31022109609972,2.3984411592248156,0.034933842053169316,0.0025301147459917323,0.039891161509152624,0.00245700210074699,0.03049983400985142,0.0025712837473980915,0.9221504012799738,0.9865244244806288,150.31022109609972,2.3984411592248165,0.030367829608772153,0.0024619916900730696,10377.0,b'COSMOSVLA3',b'J100114.38+022354.4',150.309916,0.1,2.398446,0.1,11.7,2.4,2.28,5.13,14.0,0.0,0.0,423,2,1.0975221346897461,0.0010801305453702614,0.012796884429340108
4026,150.61678824271357,2.1686513215077112,0.09287358134453881,0.0025468763154396553,0.07567766005025817,0.002527514629585527,0.042101737868815915,0.002556701408585423,0.9197762870081263,1.0,150.61706610534029,2.1683734632204943,0.09618365630403626,0.002478824150354957,9934.0,b'COSMOSVLA3',b'J100227.92+021008.9',150.616336,0.1,2.169142,0.1,11.8,2.4,2.27,5.22,16.0,0.0,0.0,333,4,2.401488527447857,0.005091186842061557,0.060325450923574456
1604,149.9460151564048,2.407332056385101,0.01629001456308,0.002500724001922906,0.0180165737820538,0.0025429394265948776,0.011433837380248028,0.002446863725691016,0.8184411733201098,0.9312201688899767,149.946571064273,2.4084432208384006,0.01598013929546354,0.0024395459545237374,10588.0,b'COSMOSVLA3',b'J095947.23+022424.9',149.946799,0.11,2.40693,0.11,11.8,2.4,2.32,5.08,19.0,0.0,0.0,,,3.169178571527479,0.00884973963654867,0.10486200518790363
2760,150.27217224777044,2.7831489530992792,0.020005700885750887,0.002501125672367137,0.02218057781575848,0.0024927164129137196,0.014414227608820794,0.002528371216300424,0.8174638964427945,0.9663881151346332,150.27189418599698,2.7834267385286777,0.01943339898913666,0.002434536965421325,10743.0,b'COSMOSVLA3',b'J100105.48+024656.5',150.272843,0.11,2.782369,0.11,11.8,2.4,2.35,5.02,17.0,0.0,0.0,,,3.701484469417659,0.012052781621419095,0.1428160957568436
2094,150.08196284211186,2.5765052278413454,0.021021283789573526,0.0024681903095540017,0.016335154976182806,0.0025800531742411316,0.003324432375482413,0.0024596874420023877,0.6655814131854009,0.9788809654415798,150.08168478163498,2.5767829862740745,0.02296404983506415,0.002402927264429306,9992.0,b'COSMOSVLA3',b'J100019.60+023436.2',150.08167,0.1,2.576743,0.1,11.8,2.3,2.26,5.2,12.0,0.0,0.0,605,2,1.3571512458991277,0.0016288026296904512,0.01929831340819877
2159,150.09726848328776,1.7512428321274651,0.01962341298709116,0.002515024925631566,0.019121032588724288,0.002433146808042675,0.014082028235161715,0.002623725987868245,0.7287039354038221,0.97224043715847,150.09671267779171,1.7517983441822775,0.020910748725978843,0.00244821932726436,9696.0,b'COSMOSVLA3',b'J100023.25+014502.1',150.096888,0.1,1.750597,0.1,11.8,2.3,2.22,5.3,11.0,0.0,0.0,,,2.698155010132898,0.006422458695472311,0.07610020902381096
3390,150.4328563055714,2.5442468669787512,0.020108621121555356,0.0024917973319374454,0.01072856304103472,0.00245930906858778,0.0069270457447748604,0.002561735121428805,0.4991094408066709,0.9702417854928704,150.43369024605974,2.5434133710421696,0.020480865615548287,0.0024416571794949045,10413.0,b'COSMOSVLA3',b'J100143.87+023238.7',150.432813,0.1,2.544107,0.1,11.9,2.4,2.29,5.17,16.0,0.0,0.0,,,0.5270583063517442,0.00024582714126786254,0.002910898822267791
1772,149.99749281416976,1.8759546815448491,0.018211835031617666,0.0025109742901080613,0.014562728306212728,0.0025911167533653507,0.00786293712336556,0.0025262985138306045,0.8558754143668796,0.9270534861509073,149.99665912199362,1.8751213211322335,0.01577649779511515,0.0024622013929609513,10207.0,b'COSMOSVLA3',b'J095959.57+015236.0',149.99822,0.1,1.876678,0.1,11.9,2.4,2.3,5.18,15.0,0.0,0.0,,,3.6913992119445775,0.011987586540623374,0.14204357388143327
3208,150.3917286048379,2.6653603277484623,0.030446100565323875,0.0025378587850650456,0.023553137774247453,0.0025320089709972514,0.017218433829522775,0.002533978086230889,0.8417168083729188,0.9849157054125999,150.39200661762953,2.6650825088307193,0.027718389327057176,0.0024697631292685267,9820.0,b'COSMOSVLA3',b'J100134.06+023955.4',150.391942,0.1,2.665403,0.1,12.0,2.4,2.27,5.26,17.0,0.0,0.0,,,0.7826166550109123,0.0005349679431637666,0.006337040669352263
1268,149.8537660426061,2.1145433585693136,0.05115140568892102,0.0025637361511161886,0.041553786591874066,0.0025083542918666922,0.024268850986069315,0.0025381760112844127,0.9050869251333168,0.9865470852017937,149.85321002124027,2.115098810985828,0.04319826097593902,0.0024946532678736364,10404.0,b'COSMOSVLA3',b'J095925.11+020654.5',149.854651,0.11,2.115142,0.11,12.0,2.4,2.36,5.07,9.0,0.0,0.0,380,3,3.844514580927775,0.012830033446310063,0.15202605500687166
