,Herschel_RA,Herschel_Dec,F_BLIND_MF_SPIRE_250,FErr_BLIND_MF_SPIRE_250,F_BLIND_MF_SPIRE_350,FErr_BLIND_MF_SPIRE_350,F_BLIND_MF_SPIRE_500,FErr_BLIND_MF_SPIRE_500,r,P,RA_pix,Dec_pix,F_BLIND_pix_SPIRE_250,FErr_BLIND_pix_SPIRE_250,ID_match,Project_match,Time_match,RA,RA_ERR_match,DEC,DEC_ERR_match,flux_match,flux_err_match,RMS_match,SNR_match,NPIX_match,RES_match,Multi_match,GroupID,GroupSize,Separation,s,s_norm
1351,149.8776407683825,2.297323256148075,0.015197587662459143,0.002501750781867553,0.012713006150112251,0.0025323212147816978,0.0053290664534462375,0.002492687393690616,0.7495827607394647,0.9515550239234449,149.8765288759809,2.2967675178153657,0.017577665446276838,0.0024446445309495727,9876.0,b'COSMOSVLA3',b'J095930.68+021751.1',149.877865,0.1,2.297551,0.1,12.3,2.4,2.33,5.26,15.0,0.0,0.0,,,1.1501213041056255,0.0011330086250960214,0.013423457367348072
2104,150.08504334727675,1.6501397788879362,0.022056989406908225,0.002539934193538906,0.0122651115438918,0.0025120829151979505,-0.0025580156728828105,0.0025584050091770057,0.615034818274446,0.9759282970550576,150.08504334727675,1.6501397788879364,0.022258533326455863,0.0024714115347445036,10795.0,b'COSMOSVLA3',b'J100020.37+013859.3',150.084894,0.11,1.649829,0.11,12.3,2.5,2.43,5.05,13.0,0.0,0.0,,,1.2411891303169276,0.0013194147291454295,0.015632255812423928
1758,149.99436765330773,2.677327507164844,0.021395778510620325,0.002521537098040779,0.017277925602291907,0.002495607207324884,0.0018034631296882915,0.00253908686159825,0.7290545001083082,0.9597337230069817,149.99492384231635,2.67677204556953,0.01824849791611126,0.0024546213528724445,8942.0,b'COSMOSVLA3',b'J095958.64+024039.0',149.994346,0.099,2.677527,0.099,12.4,2.4,2.27,5.45,20.0,0.0,0.0,,,0.7223831610632291,0.0004471262663321429,0.005296170467230991
3861,150.56325419524802,2.5422643924412287,0.016784191901797117,0.002535068979483346,0.009541656065072766,0.002448281840910595,0.0003070908616457139,0.002558530581983766,0.7703288423248408,0.9513025458851392,150.56381008930148,2.541708680706301,0.01749076838666945,0.002466172099901044,9715.0,b'COSMOSVLA3',b'J100215.22+023232.3',150.563449,0.1,2.542324,0.1,12.4,2.4,2.3,5.39,16.0,0.0,0.0,,,0.7327329922455744,0.0004600273432017188,0.005449040346007977
2704,150.25846959955499,1.9684507682137966,0.0268296865356212,0.002525105600182964,0.023564816710346746,0.002570276439124405,0.01288848986094454,0.0025167069555509067,0.8037524919601705,0.985378590078329,150.25846959955499,1.9684507682137968,0.029420405798251607,0.0024576555968995766,8822.0,b'COSMOSVLA3',b'J100102.06+015807.7',150.258603,0.095,1.968806,0.095,12.5,2.3,2.19,5.69,17.0,0.0,0.0,,,1.3659346003361232,0.001577960832767622,0.01869586917730469
465,149.6040794163578,2.357248088424479,0.019549147183806053,0.002520142817196903,0.00936441005946113,0.0025428228546650134,0.003027897280104215,0.0025247055172040703,0.6296800846277291,0.9667051578137028,149.60463500882832,2.358359353528257,0.019772759591459837,0.0024701812716694123,9776.0,b'COSMOSVLA3',b'J095824.99+022125.3',149.604141,0.1,2.357029,0.1,12.6,2.5,2.39,5.28,15.0,0.0,0.0,545,2,0.8192343029135664,0.0005646535904042516,0.006688797452212088
1945,150.0422038059836,2.5278940224541873,0.02671038278276227,0.002517312677008729,0.023163619943428172,0.0025767723528549737,0.008739453709577703,0.0025320250584418835,0.7758790403807415,0.9772787318361955,150.04164777736125,2.5267829115853866,0.022550266889280916,0.002431182462895272,10011.0,b'COSMOSVLA3',b'J100010.11+023139.1',150.04215,0.1,2.527545,0.1,12.6,2.5,2.42,5.19,18.0,0.0,0.0,644,2,1.2712951652132534,0.001359208098277831,0.01610378292422216
3094,150.35854539494935,2.08510380665517,0.01645635034863193,0.002577878927902395,0.005528983204590987,0.0025030082889184705,0.0011142160167783074,0.002532631607270849,0.6925852887686241,0.9387622149837134,150.35854539494935,2.0851038066551704,0.016445509656726497,0.00250735945279161,8071.0,b'COSMOSVLA3',b'J100126.07+020505.0',150.358649,0.093,2.084743,0.093,12.7,2.3,2.19,5.81,20.0,0.0,0.0,,,1.3513253103323828,0.0015355877484261038,0.018193774016398337
3315,150.41794503051415,1.6740041244617232,0.01523965787436391,0.0025363114000221884,0.013893494459969272,0.0024352287825996407,0.005264497371058174,0.002572263627349036,0.40038087727116867,0.874712202609363,150.41850100725355,1.6751150365664684,0.014079060736381063,0.002439373012404049,8465.0,b'COSMOSVLA3',b'J100140.25+014025.6',150.417717,0.093,1.673791,0.093,12.7,2.3,2.18,5.83,16.0,0.0,0.0,437,2,1.1233821951004397,0.001061482774280087,0.012575919735087444
3053,150.3485502812402,2.1584378296234434,0.02200485240753274,0.0025310814764642046,0.023553049570181422,0.002465881004944812,0.011683588537512286,0.0025453194933239896,0.8187515182356235,0.9802712700369913,150.3485502812402,2.158437829623444,0.024002948137307575,0.0024627799278885243,8410.0,b'COSMOSVLA3',b'J100123.59+020930.3',150.348322,0.092,2.158424,0.092,12.7,2.3,2.17,5.84,19.0,0.0,0.0,519,2,0.822737154232706,0.0005694911846522155,0.006746119988441795
