9420,COSMOSVLA3,J095746.06+023026.6,149.441926,0.098,2.507415,0.098,20.8,4.0,3.8,5.48,12,0,0
3217,COSMOSVLA3,J095746.14+021949.9,149.442285,0.046,2.330544,0.046,44.8,4.5,3.75,11.9,29,0,0
4455,COSMOSVLA3,J095746.21+013933.0,149.442542,0.058,1.659188,0.058,36.7,4.4,3.92,9.36,23,0,0
10036,COSMOSVLA3,J095746.21+014538.8,149.442564,0.1,1.760785,0.1,19.1,3.8,3.69,5.19,17,0,0
1403,COSMOSVLA3,J095746.32+025400.5,149.443031,0.025,2.900152,0.025,193.0,12.0,7.77,23.1,39,1,0
4386,COSMOSVLA3,J095746.38+013055.1,149.443289,0.057,1.515317,0.057,64.3,7.5,6.68,9.62,24,0,0
10522,COSMOSVLA3,J095746.39+024556.7,149.443302,0.11,2.765775,0.11,19.8,4.0,3.88,5.1,17,0,0
7344,COSMOSVLA3,J095746.42+023806.4,149.443425,0.082,2.635115,0.082,24.1,3.9,3.66,6.59,22,0,0
2635,COSMOSVLA3,J095746.51+024510.1,149.443827,0.04,2.752832,0.04,58.7,4.6,3.56,13.8,37,1,0
4492,COSMOSVLA3,J095746.52+015429.3,149.44387,0.059,1.908145,0.059,35.9,4.3,3.86,9.29,22,0,0
3224,COSMOSVLA3,J095746.60+024645.2,149.444189,0.047,2.779232,0.047,44.2,4.5,3.78,11.7,26,0,0
361,COSMOSVLA3,J095746.67+020044.3,149.444488,0.012,2.012331,0.012,376.0,19.0,3.87,91.8,59,1,0
6055,COSMOSVLA3,J095746.81+015922.5,149.44508,0.074,1.989586,0.074,26.1,3.8,3.56,7.32,17,0,0
305,COSMOSVLA3,J095746.89+022137.8,149.445406,0.011,2.360504,0.011,445.0,23.0,3.81,104.0,65,1,0
8179,COSMOSVLA3,J095747.11+015826.6,149.446331,0.091,1.97407,0.091,22.1,3.9,3.74,5.9,12,0,0
8983,COSMOSVLA3,J095747.13+014345.6,149.44641,0.097,1.729344,0.097,20.7,3.9,3.73,5.56,14,0,0
9396,COSMOSVLA3,J095747.23+015127.4,149.446816,0.1,1.85763,0.1,33.7,4.1,3.69,5.23,22,1,0
1171,COSMOSVLA3,J095747.27+015152.6,149.446976,0.022,1.864624,0.022,127.0,7.5,3.9,27.0,52,1,0
899,COSMOSVLA3,J095747.27+020208.2,149.446979,0.018,2.035627,0.018,132.0,8.1,3.77,35.1,42,0,0
3519,COSMOSVLA3,J095747.34+015620.5,149.447253,0.049,1.93905,0.049,41.5,4.4,3.73,11.1,27,0,0
10091,COSMOSVLA3,J095747.43+024952.0,149.447648,0.1,2.831122,0.1,21.4,4.3,4.14,5.17,14,0,0
3057,COSMOSVLA3,J095747.50+023309.5,149.447925,0.045,2.552664,0.045,44.5,4.4,3.67,12.1,25,0,0
338,COSMOSVLA3,J095747.50+020037.0,149.447958,0.012,2.010283,0.012,357.0,18.0,3.53,95.5,64,1,0
893,COSMOSVLA3,J095747.54+020015.3,149.448085,0.018,2.004252,0.018,161.0,8.9,3.87,34.8,51,1,0
10148,COSMOSVLA3,J095747.55+025020.6,149.448146,0.1,2.839056,0.1,22.8,4.5,4.31,5.28,14,0,0
3131,COSMOSVLA3,J095747.57+024116.8,149.448239,0.045,2.688002,0.045,43.1,4.2,3.55,12.1,33,0,0
10803,COSMOSVLA3,J095747.58+015559.9,149.448288,0.1,1.933326,0.1,19.5,3.9,3.8,5.13,13,0,0
8437,COSMOSVLA3,J095747.65+023147.3,149.448565,0.09,2.529819,0.09,21.2,3.7,3.54,5.99,14,0,0
9584,COSMOSVLA3,J095747.71+023350.5,149.448797,0.096,2.564044,0.096,19.9,3.7,3.57,5.57,18,0,0
578,COSMOSVLA3,J095747.83+015558.4,149.449322,0.014,1.932907,0.014,209.0,11.0,3.71,52.7,52,1,0
8850,COSMOSVLA3,J095747.88+022611.0,149.449541,0.096,2.436392,0.096,20.1,3.7,3.58,5.61,15,0,0
3699,COSMOSVLA3,J095747.96+022527.3,149.449852,0.049,2.42426,0.049,41.5,4.3,3.71,11.2,26,0,0
3871,COSMOSVLA3,J095748.05+022541.3,149.450236,0.053,2.428139,0.053,37.7,4.2,3.64,10.4,25,0,0
1711,COSMOSVLA3,J095748.06+025300.4,149.45028,0.029,2.883462,0.029,107.0,7.9,5.37,20.0,32,0,0
744,COSMOSVLA3,J095748.14+015524.3,149.450588,0.016,1.923438,0.016,171.0,9.4,3.79,42.5,50,1,0
1667,COSMOSVLA3,J095748.21+024514.9,149.450904,0.029,2.75416,0.029,70.9,5.3,3.61,19.7,32,0,0
10035,COSMOSVLA3,J095748.24+024108.8,149.451029,0.1,2.685781,0.1,19.2,3.7,3.6,5.34,19,0,0
6270,COSMOSVLA3,J095748.29+020433.3,149.451226,0.074,2.075919,0.074,26.3,3.9,3.6,7.29,20,0,0
3638,COSMOSVLA3,J095748.41+020117.5,149.451734,0.051,2.02154,0.051,46.9,4.3,3.56,10.7,31,1,0
7189,COSMOSVLA3,J095748.42+024952.5,149.451783,0.084,2.83126,0.084,25.2,4.1,3.89,6.47,19,0,0
1078,COSMOSVLA3,J095748.52+014005.0,149.452167,0.021,1.668058,0.021,99.5,6.3,3.39,29.3,39,0,0
2626,COSMOSVLA3,J095748.54+014517.0,149.452284,0.041,1.75474,0.041,48.6,4.4,3.57,13.6,29,0,0
5637,COSMOSVLA3,J095748.59+014933.6,149.45249,0.07,1.826006,0.07,27.2,3.8,3.51,7.73,19,0,0
413,COSMOSVLA3,J095748.60+020157.5,149.452538,0.012,2.032658,0.012,287.0,16.0,3.7,77.8,56,0,0
3862,COSMOSVLA3,J095748.67+014527.2,149.452805,0.053,1.75757,0.053,34.7,3.9,3.38,10.3,27,0,0
8418,COSMOSVLA3,J095748.72+015817.2,149.453009,0.11,1.971453,0.11,77.1,5.4,3.75,5.05,46,1,0
5604,COSMOSVLA3,J095748.89+024615.8,149.453725,0.068,2.771057,0.068,29.2,4.0,3.64,8.03,18,0,0
4556,COSMOSVLA3,J095748.90+015817.0,149.453751,0.06,1.971408,0.06,34.3,4.2,3.77,9.08,27,0,0
3677,COSMOSVLA3,J095748.93+024619.8,149.4539,0.051,2.772189,0.051,39.1,4.2,3.65,10.7,29,0,0
2369,COSMOSVLA3,J095748.96+022402.5,149.45404,0.037,2.400712,0.037,52.8,4.6,3.56,14.8,37,0,0
4128,COSMOSVLA3,J095749.03+022637.2,149.454326,0.056,2.443679,0.056,59.8,4.7,3.62,9.79,43,1,0
9780,COSMOSVLA3,J095749.07+025549.3,149.454487,0.1,2.930388,0.1,50.9,9.9,9.51,5.35,15,0,0
2377,COSMOSVLA3,J095749.19+023532.5,149.454982,0.037,2.592383,0.037,64.8,4.8,3.52,15.1,35,1,0
7614,COSMOSVLA3,J095749.33+021956.6,149.455559,0.085,2.332403,0.085,22.6,3.8,3.55,6.35,20,0,0
3764,COSMOSVLA3,J095749.37+020855.9,149.455725,0.052,2.148877,0.052,35.9,3.9,3.42,10.5,27,0,0
2181,COSMOSVLA3,J095749.37+015937.6,149.455745,0.035,1.993778,0.035,57.1,4.7,3.61,15.8,31,0,0
10323,COSMOSVLA3,J095749.45+022211.6,149.456075,0.11,2.369908,0.11,18.4,3.7,3.61,5.09,10,0,0
5847,COSMOSVLA3,J095749.52+021635.7,149.45637,0.071,2.27659,0.071,43.0,4.1,3.52,7.66,31,1,0
2550,COSMOSVLA3,J095749.77+023950.1,149.457396,0.038,2.663937,0.038,58.5,4.5,3.38,14.5,36,1,0
407,COSMOSVLA3,J095749.91+024953.2,149.457988,0.012,2.831467,0.012,311.0,16.0,3.86,77.2,56,1,0
4695,COSMOSVLA3,J095749.98+022616.3,149.458268,0.062,2.437884,0.062,62.9,4.7,3.46,8.81,52,1,0
